"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36"
"ABTB1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1.5,2
"ABTB2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,2.5,1.5,3,1,1,0.5,1,2
"AC000068.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"AC000078.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"AC000085.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"AC000089.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"AC000093.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"AC000120.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,2,3,0.5,1,1,1.5,2
"AC000123.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,0.5,1.5,2,3,1,1,1,1.5,2
"AC000123.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,0.5,1.5,2,3,1,1,1,1.5,2
"AC000123.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,0.5,1.5,2,3,1,1,1,1.5,2
"AC000403.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,1,1,0.5,1,1,2,0.5,1,1,3,1
"AC001226.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,1,1,0.5,1,1,2,0.5,1,1,3,1
"AC002064.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,2,3,0.5,1,1,1.5,2
"AC002064.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,2,3,0.5,1,1,1.5,2
"AC002066.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,2,3,1,1,1,1.5,2
"AC002070.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1.5,1,1,1,2,2,2,1,1,1,1,2
"AC002074.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,2,3,0.5,1,1,1.5,2
"AC002091.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,2,1.5,2,1,0.5,0.5,1,1
"AC002128.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,3,3,1,1,1,1,2
"AC002310.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.5,0.5,1.5,1,1,1.5,1,1,3.5,2,3,1,2.5,2,1,2
"AC002310.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.5,0.5,1.5,1,1,1.5,1,1,3.5,2,3,1,2.5,2,1,2
"AC002350.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1.5,1,1,1,2,2,2,1,1,1,1,2
"AC002378.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1.5,0.5,0.5,1,0.5,1,2,1,2,1,1,0.5,1.5,2
"AC002401.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,2,1.5,2,1,1.5,2,1,3
"AC002401.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,2,1.5,2,1,1.5,2,1,3
"AC002451.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,2,3,0.5,1,1,1.5,2
"AC002456.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,2,3,0.5,1,1,1.5,2
"AC002460.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,0.5,1,1,1,2,1.5,2,0.5,1,1,1.5,2
"AC002467.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,2,3,1,1,1,1,2
"AC002470.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
