"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50"
"ABHD18",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0.5,1,1,1,1.5,1,1.5,1.5,1,1,1,1.5,2,2,1.5,1,1.5,1,2,1
"ABHD2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1.5,2,1.5,1,1,1,1,1,5.5,3.5,2,3,1,2,1,1,2,1.5,2,1,1.5,1.5,0.5,1
"ABHD3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.5,2,1,1,1,1,1,1,1,5,1,1.5,2,1,1,1,1.5,1,2,0.5,2,1,1.5,1
"ABHD4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,2,1,1,2,1,1,2,3,2.5,1,1,1,1,3,2,4,2,1,1.5,1,2,1
"ABHD5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1.5,1,0.5,1.5,1,1,1.5,3,2,2.5,1,1,1,1,4,1,1.5,1,2,1,2,1
"ABHD6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1.5,1,0.5,1.5,1,1,1.5,1.5,2,2.5,1,1,1,2,3.5,1,1.5,1,2,0.5,2,1
"ABHD8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,1.5,1,1,2,1,1,1.5,3,1.5,2,1,1,1,1,2.5,1.5,1.5,1,2,1,1.5,1
"ABI1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1.5,3,2.5,1.5,1.5,2,1,2,2.5,1.5,1,1,2,1,1.5,1
"ABI2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,1.5,1,1,1,1,1,1.5,3,2,1.5,1,2,1,2.5,2.5,1,2,0.5,2,1,1.5,1
"ABI3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,0.5,1,1,1,4.5,3,7.5,3,1,2,2,2,6.5,3.5,2,1,1.5,1.5,1.5,1
"ABI3BP",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,3,1,1,1.5,1,1,5,2.5,2,2.5,1.5,2,1,2,3.5,2,1.5,1,2,1,2,1
"ABITRAM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1.5,1,1,2,1,1,1.5,1.5,2.5,1.5,1,1,1,1.5,3,1,2,0.5,1,1,1.5,1
"ABL1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1.5,3.5,2.5,1.5,1,1,1,1.5,2.5,1,2.5,1,1.5,1,1.5,1
