,Unnamed: 0,status,gene,N,n_aneup,cna,mean_b_scaling,sd_b_scaling,mean_b_deviation,sd_b_deviation,z_comp,p_value,mean_phi,Rhat_b_deviation,ess_b_deviation,covar_levels,reason,label_nb,adj_p,aneup_frac,comp_score,signed_comp,shrunk_comp
20,20,ok,HECW1,45.0,33.0,all,0.3087180632025,0.1521369354591461,-0.0665189588851512,0.1687100164302053,-0.3942798435602659,0.6933744430192827,1.34701994539,1.00284,2021.18,['ALL'],,DSG,0.9633102231651722,0.7333333333333333,-0.2154683085113775,-0.2154683085113775,-0.06606809010899414
21,21,ok,MAD1L1,45.0,34.0,all,0.161929465802,0.0847139131808823,-0.00652269136817,0.1298318704447538,-0.0502395239768616,0.959931515726326,2.978060678475,1.00098,1909.35,['ALL'],,OTHER,0.9965842727892632,0.7555555555555555,-0.0402810651901097,-0.0402810651901097,-0.0016140012270967493
22,22,ok,LASP1,45.0,30.0,all,0.4975188383425,0.1039392041459216,-0.1823456649184527,0.1570741941319591,-1.1608887502250236,0.2456871443756658,6.996615287000001,1.00185,1782.47,['ALL'],,DSG,0.7316123522077984,0.6666666666666666,-0.3665100713089441,-0.3665100713089441,-0.27646325850412795
23,23,ok,SNX11,45.0,32.0,all,0.482111308955,0.0890086879898767,-0.17076002070918,0.1387506004148169,-1.2306975263434234,0.2184360136179624,11.58674540935,1.00259,1769.5,['ALL'],,DSG,0.7051553793896438,0.7111111111111111,-0.3541921077921005,-0.3541921077921005,-0.2768237957110504
24,24,ok,TMEM176A,45.0,31.0,all,0.2945987755595,0.1173766056535472,-0.0926751231888407,0.1687584575821788,-0.5491583919206631,0.5828967557671345,2.2140719688500003,1.00294,1712.74,['ALL'],,OTHER,0.9328845167267217,0.6888888888888889,-0.31458081593459697,-0.31458081593459697,-0.1312126788997423
25,25,ok,M6PR,45.0,28.0,all,0.4499697592925,0.1097667768161414,-0.0932233580945387,0.1381884758859323,-0.6746102198239018,0.4999234382598772,5.9011745251250005,1.00111,2116.29,['ALL'],,DSG,0.897739422803857,0.6222222222222222,-0.20717694060400058,-0.20717694060400058,-0.10360433212908625
26,26,ok,CYP26B1,45.0,23.0,all,0.1758214584265,0.0784815771503985,-0.23457082070385,0.144211584472164,-1.6265740478645612,0.1038275948746372,2.6038468190499997,1.00219,1749.53,['ALL'],,DCG,0.6051534085096762,0.5111111111111111,-1.3341421621861331,-1.3341421621861331,-1.1956213902654989
27,27,ok,ICA1,45.0,34.0,all,0.7372281030575,0.1199581697469215,-0.3457461088158,0.1523077232275877,-2.270049748555196,0.0232045647744554,4.7677008437,1.00413,1238.57,['ALL'],,DCG,0.5354134532858582,0.7555555555555555,-0.4689811842249231,-0.4689811842249231,-0.45809867995757503
28,28,ok,DBNDD1,45.0,23.0,all,1.0566955461875,0.1517207306993379,-0.15071157419692,0.1755839789882117,-0.85834467965348,0.3907021648666329,2.96904424955,1.0016,2484.97,['ALL'],,DSG,0.8333082464913902,0.5111111111111111,-0.1426253519669683,-0.1426253519669683,-0.0869013181886083
29,29,ok,ALS2,45.0,22.0,all,0.6945051220375,0.1005068087389023,-0.220681729075835,0.156337150594722,-1.4115757402277054,0.1580749197343403,8.845686594,1.00161,1685.81,['ALL'],,DSG,0.6535399716270485,0.4888888888888889,-0.31775392588669665,-0.31775392588669665,-0.2675249995568856
30,30,ok,CASP10,45.0,22.0,all,0.25815771856425,0.0987289747004926,-0.1667013545090695,0.1469944810808934,-1.1340653967636447,0.2567671172112162,4.1975759578,1.00236,1984.07,['ALL'],,DCG,0.7411304429706711,0.4888888888888889,-0.6457345356016579,-0.6457345356016579,-0.47993114041149676
31,31,ok,CFLAR,45.0,22.0,all,0.5056123312025,0.1139871799644679,-0.2882180598872275,0.1609852241601692,-1.790338594059231,0.0733994954356493,4.764431475075,1.00152,2144.42,['ALL'],,DCG,0.5812255265277112,0.4888888888888889,-0.5700376397105609,-0.5700376397105609,-0.5281971645764773
32,32,ok,TFPI,45.0,21.0,all,0.5759275803052502,0.2464384752079149,-0.0600722500129187,0.1865399924475767,-0.3220341612793879,0.7474268149416539,1.228317793735,1.00095,2009.95,['ALL'],,DSG,0.9756701079660874,0.4666666666666667,-0.1043052148693409,-0.1043052148693409,-0.026344700337744595
33,33,ok,NDUFAF7,45.0,24.0,all,0.6890954919574999,0.0971186648675777,-0.2471694942287725,0.1537248119904402,-1.607869874930427,0.1078636808673016,9.4437591265,1.00047,1365.35,['ALL'],,DCG,0.6051534085096762,0.5333333333333333,-0.35868685416391716,-0.35868685416391716,-0.31999756979508404
