,status,gene,N,n_aneup,cna,mean_b_scaling,sd_b_scaling,mean_b_deviation,sd_b_deviation,z_comp,p_value,mean_phi,Rhat_b_deviation,ess_b_deviation,covar_levels,reason
597,ok,EIF2AK1,45.0,34.0,all,0.6565510821499999,0.09508659375370627,-0.24178060875785787,0.12292869124697561,-1.9668362715429653,0.04920208947993676,10.367379697675002,1.00207,1653.93,['ALL'],
598,ok,NME8,45.0,33.0,all,0.21253413740975002,0.09333341185413922,-0.15147767411160876,0.1325491445231411,-1.1428038608364086,0.25312003546562245,3.529489799825,1.00365,1787.9,['ALL'],
599,ok,EPDR1,45.0,33.0,all,0.840833072945,0.20040705415920446,-0.17718295890891805,0.18019175797989456,-0.9833022381006338,0.32545870893539863,1.3405234651575,1.00107,2121.69,['ALL'],
600,ok,SNX10,45.0,34.0,all,0.29401230471975,0.11570973695515877,0.010747602072380675,0.16329615918855134,0.06581662499465686,0.9475238201034579,2.9234756712,1.00102,1640.86,['ALL'],
601,ok,ITPKC,45.0,33.0,all,0.6758689947025001,0.1508499657887465,-0.18721324319539726,0.176334558781905,-1.0616934337128283,0.2883748812513236,2.916302844675,1.0013,1946.45,['ALL'],
602,ok,CEACAM6,45.0,31.0,all,0.9482558322525,0.29868287810879673,-0.014523154873705249,0.18878912840309023,-0.07692791950761252,0.9386808867985936,0.6639840585275,1.00072,3020.3,['ALL'],
603,ok,ERO1B,45.0,33.0,all,0.69211849135,0.19547584321045738,-0.04226424196651725,0.18895629414263307,-0.22367205156243283,0.8230124946087969,1.3106773526925,1.00223,1919.59,['ALL'],
604,ok,LAT2,45.0,32.0,all,0.17967276680875,0.0904725705531288,0.006745283108459999,0.13259977974849133,0.05086948953651444,0.9594295178433725,3.0390162747750002,1.00248,2010.88,['ALL'],
605,ok,NOX4,45.0,28.0,all,0.215735780429,0.12053624981954242,-0.02687368773219325,0.1704597362574736,-0.15765416703215746,0.8747293181293041,1.5434644185025,1.00139,1955.06,['ALL'],
606,ok,MTMR2,45.0,25.0,all,0.585575490235,0.10785563404701635,-0.21880196626550003,0.1657980031617841,-1.3196899968209819,0.1869385411921778,6.951035757525,1.00114,1929.65,['ALL'],
607,ok,TRIP6,45.0,30.0,all,0.6258804760225,0.14629044972470925,-0.187981269202845,0.1742730413791683,-1.078659485799938,0.28073955267250006,3.055171775125,1.00186,1802.88,['ALL'],
608,ok,ACHE,45.0,30.0,all,0.46305329070325,0.24185332594764347,-0.0173095064205765,0.18372669982268197,-0.09421334208518535,0.9249396864655872,0.6038988237025,1.00049,2356.13,['ALL'],
609,ok,SRRT,45.0,30.0,all,0.6998492631700001,0.10107782463074497,-0.39371874874705,0.14556053413438272,-2.7048454520204324,0.006833617447387086,10.6854511504,1.00073,1438.3,['ALL'],
610,ok,NLK,45.0,30.0,all,0.6633852162124999,0.09747447032053447,-0.315414884054505,0.15780769304570194,-1.9987294533426783,0.04563763440520274,9.5612092827,1.00181,1405.48,['ALL'],
611,ok,PIGS,45.0,31.0,all,0.636622255475,0.11003769003695464,-0.12686259245465525,0.1598148442944623,-0.7938098179472501,0.42730615615837086,7.413964731875001,1.00124,1862.07,['ALL'],
612,ok,ATXN7L3,45.0,31.0,all,0.5980523039875,0.10431879980678363,-0.1416486075963305,0.14142880004575362,-1.00155419228973,0.3165589542774965,9.996651579000002,1.00249,1153.5,['ALL'],
613,ok,PGS1,45.0,31.0,all,0.60317796054,0.1047107053167982,-0.32746192604737995,0.1563405494054971,-2.0945425053998563,0.03621168077529813,5.856021591975,1.00161,1590.38,['ALL'],
614,ok,PSMC5,45.0,31.0,all,0.7217292229575,0.0965959026190164,-0.34314954434928996,0.14102798830574914,-2.4332017245069157,0.014965960404069723,10.3025023959,1.00141,1884.34,['ALL'],
615,ok,GMCL1,45.0,23.0,all,0.83818782403,0.10765820125874202,-0.29595522470786,0.1583886287512251,-1.8685383353668994,0.06168707187015143,8.83901018725,1.00199,1426.42,['ALL'],
616,ok,SF3B2,45.0,24.0,all,0.7119919672174999,0.09725083643418493,-0.29593321373904996,0.14544509731940933,-2.0346730085315725,0.04188378582328567,11.7542951956,1.00114,1714.03,['ALL'],
617,ok,KLHL42,45.0,30.0,all,0.61032498278,0.11353147655104422,-0.189306061745894,0.1271015627582089,-1.4894078218850821,0.13638001009149336,5.810633788225,1.00342,1632.21,['ALL'],
