,class,beta1,cn_ratio_log2,truth_log2FC_aware,truth_log2FC_naive,empirical_log2FC_naive,empirical_log2FC_aware,DE_truth
RPS6KA4,DIG,-1.2505302843890413,0.5849625007211562,-1.804133839769535,-1.219171339048379,-1.3614430539373255,-1.7961297759625712,True
DOCK11P1,NEUTRAL,-0.026336703361000777,0.13750352374993502,-0.03799583133227952,0.0995076924176555,-0.02999176752531245,-0.02999176752531196,False
HSP90AB1,DIG,-1.7117619681837337,0.632268215499513,-2.4695505026810043,-1.8372822871814913,-1.9853267073880394,-2.461546438874039,True
FZD2,NEUTRAL,0.02372125198206266,0.13750352374993502,0.034222532598199296,0.17172605634813431,0.04222659640516454,0.04222659640516454,False
SV2A,DCG,-0.7145065557913547,0.9259994185562233,-1.030815064722841,-0.10481564616661765,-0.23353034626138028,-1.0228110009158755,True
CRYZ,NEUTRAL,0.0563662221446911,0.13750352374993502,0.08131926916179152,0.21882279291172654,0.0893233329687569,0.0893233329687569,False
WNT10A,NEUTRAL,0.0331111017734413,0.13750352374993502,0.047769222326913524,0.18527274607684854,0.055773286133879475,0.05577328613387917,False
TSHB,NEUTRAL,0.0854772558165217,0.13750352374993502,0.12331761307529315,0.2608211368252282,0.13132167688225907,0.1313216768822588,False
AGPS,NEUTRAL,-0.016476546028195566,0.13750352374993502,-0.02377063124585649,0.11373289250407853,-0.015766567438890232,-0.015766567438890395,False
RPS3AP37,NEUTRAL,0.03010443804996534,0.13750352374993502,0.043431523483434015,0.18093504723336903,0.051435587290400826,0.051435587290400826,False
FOLH1B,NEUTRAL,0.018159735879773764,0.13750352374993502,0.026198960897602985,0.163702484647538,0.034203024704569256,0.03420302470456957,False
PRR14L,NEUTRAL,0.024043001471635343,0.13750352374993502,0.03468671899121436,0.17219024274114939,0.04269078279818145,0.042690782798181136,False
SLITRK5,NEUTRAL,0.05234176036626723,0.13750352374993502,0.07551319811181223,0.21301672186174725,0.08351726191877969,0.08351726191877969,False
MGAT4A,NEUTRAL,-0.06281949913758783,0.13750352374993502,-0.09062937987692647,0.04687414387300855,-0.08262531606995947,-0.08262531606995947,False
ACE,DCG,-0.8780004234319276,0.8073549220576041,-1.266686856783652,-0.45933193472604794,-0.5976832259915026,-1.258682792976688,True
LSM12,NEUTRAL,-0.09783853217150314,0.13750352374993502,-0.14115116517168289,-0.003647641421747866,-0.13314710136471603,-0.13314710136471622,False
CCDC124,DIG,-1.115215874803429,0.32192809488736235,-1.6089164120995543,-1.2869883172121919,-1.4099250605697993,-1.600912348292588,True
MXI1,NEUTRAL,-0.03208897026337883,0.13750352374993502,-0.04629459826621005,0.09120892548372497,-0.038290534459243866,-0.03829053445924371,False
EIF5A,NEUTRAL,0.031026033607010253,0.13750352374993502,0.04476110482328801,0.18226462857322304,0.05276516863025302,0.05276516863025333,False
PRKAG3,NEUTRAL,-0.03295477206069873,0.13750352374993502,-0.047543686225596224,0.0899598375243388,-0.03953962241862993,-0.0395396224186301,False
RP9P,DSG,0.006617990941286034,-0.7369655941662062,0.009547742711641445,-0.7274178514545647,-0.8569173113975335,0.01755180651860782,False
RIOK2,NEUTRAL,-0.019344476431069662,0.13750352374993502,-0.027908180215697638,0.10959534353423739,-0.0199041164087306,-0.0199041164087306,False
GABRR2,DIG,1.6844951389795026,0.4854268271702419,2.4302127834072937,2.9156396105775357,2.810789754754885,2.4382168472142562,True
ABCG8,DIG,1.2351997042774723,0.53605290024021,1.7820164878686235,2.3180693881088335,2.205713397711923,1.7900205516755872,True
SELENOK,NEUTRAL,0.00015654041837332892,0.13750352374993502,0.0002258400852858852,0.1377293638352209,0.008229903892252675,0.008229903892252356,False
SAP30L-AS1,NEUTRAL,0.02847802830465207,0.13750352374993502,0.041085110209417075,0.1785886339593521,0.04908917401638406,0.04908917401638406,False
FBXL18,DIG,1.4865997169512128,0.7224660244710913,2.1447100394324514,2.8671760639035426,2.748039900635029,2.152714103239417,True
DNTTIP1,DCG,-0.8256009000240049,1.0,-1.1910903242180968,-0.1910903242180968,-0.3183881896403427,-1.1830862604111319,True
HTR2B,NEUTRAL,0.024839125921100078,0.13750352374993502,0.03583528378638759,0.1733388075363226,0.04383934759335297,0.043839347593353596,False
