,truth_class,DE_naive,DE_aware,predicted_class,sample_size,cn_signal,replicate
MINDY1,DCG,False,True,DCG,60,strong,2
WNK4,NEUTRAL,False,False,NEUTRAL,60,strong,2
SPATS2L,NEUTRAL,False,False,NEUTRAL,60,strong,2
MRGPRX3,DIG,True,True,DIG,60,strong,2
NUP50-DT,NEUTRAL,False,False,NEUTRAL,60,strong,2
GRHPR,DIG,True,True,DIG,60,strong,2
RPL18AP7,NEUTRAL,False,False,NEUTRAL,60,strong,2
PDZD8,NEUTRAL,False,False,NEUTRAL,60,strong,2
KLK7,DIG,True,True,DIG,60,strong,2
ATG10,NEUTRAL,False,False,NEUTRAL,60,strong,2
HDDC2,DIG,True,True,DIG,60,strong,2
RPL7P26,DSG,True,False,DSG,60,strong,2
GEN1,DIG,True,True,DIG,60,strong,2
MAP3K6,NEUTRAL,False,False,NEUTRAL,60,strong,2
GGT7,DCG,True,True,DIG,60,strong,2
TAF15,DIG,True,True,DIG,60,strong,2
SLC25A15,NEUTRAL,False,False,NEUTRAL,60,strong,2
GBA3,NEUTRAL,False,False,NEUTRAL,60,strong,2
SLC10A1,NEUTRAL,False,False,NEUTRAL,60,strong,2
