,sample_size,n_genes,cn_signal,replicate,tag,method,TP,FP,FN,TN,Precision,Recall,F1,Accuracy,AUC,MCC,n_pos,n_neg,FP_DSG,FP_NEUTRAL
128,20,5000,weak,13,S20_G5000_CNweak_R13,PyDESeq2,1024,278,476,2705,0.7864823348694316,0.6826666666666666,0.7309064953604568,0.8318090564354227,0.7947359481506313,0.6127002168124343,1500,2983,190,88
129,20,5000,weak,13,S20_G5000_CNweak_R13,DeConveil,1098,209,402,2774,0.8400918133129304,0.732,0.7823298895618097,0.8637073388356011,0.830968152866242,0.6872431462026279,1500,2983,39,170
130,20,5000,weak,14,S20_G5000_CNweak_R14,PyDESeq2,1052,280,446,2710,0.7897897897897898,0.7022696929238985,0.7434628975265017,0.8382352941176471,0.8043121039870329,0.6282320859829005,1498,2990,186,94
131,20,5000,weak,14,S20_G5000_CNweak_R14,DeConveil,1128,232,370,2758,0.8294117647058824,0.753004005340454,0.7893631910426872,0.8658645276292335,0.8377060160481534,0.6930386693749843,1498,2990,38,194
132,20,5000,weak,15,S20_G5000_CNweak_R15,PyDESeq2,1053,306,448,2681,0.7748344370860927,0.7015323117921386,0.7363636363636363,0.8319964349376114,0.7995441940614526,0.615157536992442,1501,2987,220,86
133,20,5000,weak,15,S20_G5000_CNweak_R15,DeConveil,1134,234,367,2753,0.8289473684210527,0.7554963357761493,0.7905193447194144,0.8660873440285205,0.8385784323674854,0.6940278484623563,1501,2987,37,197
134,20,5000,weak,16,S20_G5000_CNweak_R16,PyDESeq2,1043,312,460,2673,0.7697416974169742,0.6939454424484365,0.7298810356892932,0.8279857397504456,0.7947114146915548,0.6059388046047076,1503,2985,211,101
135,20,5000,weak,16,S20_G5000_CNweak_R16,DeConveil,1131,243,372,2742,0.8231441048034934,0.7524950099800399,0.786235662148071,0.8629679144385026,0.8355439874020804,0.6871925527855692,1503,2985,36,207
136,20,5000,weak,17,S20_G5000_CNweak_R17,PyDESeq2,1062,289,443,2698,0.7860843819393042,0.7056478405315615,0.7436974789915967,0.8370436331255565,0.8044476229775317,0.6267102558464072,1505,2987,207,82
137,20,5000,weak,17,S20_G5000_CNweak_R17,DeConveil,1145,221,360,2766,0.8382137628111274,0.760797342192691,0.7976314872866597,0.8706589492430988,0.8434050319935668,0.7046974096495162,1505,2987,37,184
138,20,5000,weak,18,S20_G5000_CNweak_R18,PyDESeq2,1074,281,434,2702,0.792619926199262,0.7122015915119363,0.7502619629758994,0.8407926965041194,0.8090005610928772,0.6358561652143946,1508,2983,197,84
139,20,5000,weak,18,S20_G5000_CNweak_R18,DeConveil,1137,209,371,2774,0.8447251114413076,0.7539787798408488,0.7967764540995095,0.8708528167446004,0.8419575427866665,0.7050121896095741,1508,2983,32,177
140,20,5000,weak,19,S20_G5000_CNweak_R19,PyDESeq2,1090,272,407,2723,0.8002936857562408,0.72812291249165,0.7625043721580972,0.8488423864648263,0.8186524412207833,0.6535756095692775,1497,2995,191,81
141,20,5000,weak,19,S20_G5000_CNweak_R19,DeConveil,1154,203,343,2792,0.8504053058216654,0.770875083500334,0.8086895585143657,0.8784505788067676,0.851547725389566,0.7217967214302164,1497,2995,34,169
142,20,5000,weak,2,S20_G5000_CNweak_R2,PyDESeq2,1023,288,478,2702,0.7803203661327232,0.681545636242505,0.7275960170697012,0.8294366510799377,0.7926122830041956,0.6072025443242812,1501,2990,192,96
143,20,5000,weak,2,S20_G5000_CNweak_R2,DeConveil,1109,226,392,2764,0.8307116104868913,0.7388407728181212,0.7820874471086037,0.8623914495657983,0.8316277442685923,0.6845381592556427,1501,2990,32,194
144,20,5000,weak,20,S20_G5000_CNweak_R20,PyDESeq2,1056,286,446,2700,0.7868852459016393,0.7030625832223701,0.7426160337552743,0.8368983957219251,0.8036411375589413,0.6259142749478265,1502,2986,198,88
145,20,5000,weak,20,S20_G5000_CNweak_R20,DeConveil,1132,218,370,2768,0.8385185185185186,0.7536617842876165,0.7938288920056101,0.8689839572192514,0.8403272082858043,0.7003468522538953,1502,2986,31,187
