,padjScreen,p_naive,p_aware
AC008280.2,1.0,0.0,1.0
AC008393.1,1.0,0.0,1.0
AC008429.1,1.0,1.0,0.0
AC008438.1,1.0,1.0,1.0
AC008494.3,1.0,0.0,1.0
AC008498.1,1.0,0.0,1.0
AC008514.1,1.0,1.0,1.0
AC008537.2,0.0,0.0,0.0
AC008537.3,1.0,1.0,0.0
AC008543.1,0.0,0.0,0.0
AC008554.1,1.0,1.0,1.0
AC008555.1,1.0,1.0,1.0
AC008555.2,1.0,1.0,1.0
AC008555.4,1.0,1.0,1.0
AC008555.6,1.0,1.0,1.0
AC008556.1,1.0,1.0,1.0
AC008592.3,1.0,0.0,1.0
AC008608.2,1.0,1.0,0.0
AC008610.1,1.0,1.0,0.0
AC008629.1,1.0,0.0,1.0
AC008663.2,1.0,1.0,0.0
AC008676.1,1.0,1.0,1.0
AC008691.1,1.0,1.0,1.0
AC008735.2,1.0,1.0,1.0
AC008736.1,1.0,1.0,1.0
AC008751.3,1.0,1.0,1.0
AC008760.1,0.0,0.0,0.0
AC008763.1,1.0,1.0,1.0
AC008764.2,1.0,1.0,1.0
AC008764.6,1.0,1.0,1.0
AC008764.8,1.0,1.0,1.0
AC008764.9,1.0,1.0,1.0
AC008770.3,1.0,0.0,1.0
AC008771.1,1.0,1.0,1.0
AC008840.1,1.0,1.0,1.0
AC008875.2,1.0,1.0,1.0
AC008875.3,1.0,1.0,1.0
AC008894.3,1.0,1.0,1.0
AC008895.1,1.0,1.0,1.0
AC008906.1,1.0,1.0,1.0
AC008915.2,0.0,0.0,0.0
AC008937.3,1.0,1.0,0.0
AC008946.1,1.0,1.0,1.0
AC008957.1,1.0,1.0,1.0
AC008966.1,1.0,1.0,1.0
AC008966.2,1.0,0.0,1.0
AC008969.1,1.0,1.0,1.0
AC008972.1,1.0,1.0,1.0
AC008972.2,1.0,0.0,1.0
AC009005.1,1.0,1.0,0.0
AC009032.1,1.0,1.0,1.0
AC009053.1,0.0,0.0,0.0
AC009053.3,1.0,1.0,1.0
AC009054.2,0.0,0.0,0.0
AC009060.1,1.0,1.0,1.0
AC009061.2,1.0,0.0,1.0
AC009065.4,1.0,1.0,1.0
AC009065.8,1.0,1.0,1.0
AC009078.3,1.0,0.0,1.0
AC009090.6,1.0,1.0,1.0
AC009107.2,0.0,0.0,0.0
AC009108.3,0.0,0.0,0.0
AC009113.1,1.0,1.0,1.0
AC009119.1,1.0,1.0,1.0
AC009120.1,1.0,1.0,1.0
AC009120.2,1.0,1.0,1.0
AC009120.3,1.0,1.0,0.0
AC009126.1,1.0,1.0,1.0
AC009159.3,1.0,1.0,1.0
AC009163.7,1.0,1.0,1.0
AC009166.1,1.0,1.0,1.0
AC009166.2,1.0,0.0,1.0
AC009166.3,1.0,1.0,1.0
AC009171.2,1.0,0.0,1.0
AC009185.1,1.0,1.0,1.0
AC009237.14,1.0,1.0,1.0
AC009237.3,1.0,1.0,1.0
AC009244.1,1.0,0.0,1.0
AC009245.1,1.0,1.0,1.0
AC009271.1,1.0,0.0,1.0
AC009275.1,1.0,0.0,1.0
AC009283.1,1.0,1.0,1.0
AC009301.1,1.0,1.0,1.0
AC009303.4,1.0,1.0,1.0
AC009309.1,1.0,1.0,1.0
AC009312.1,0.0,0.0,0.0
AC009315.1,0.0,0.0,0.0
AC009318.1,0.0,0.0,0.0
AC009318.2,0.0,0.0,0.0
AC009318.3,1.0,1.0,0.0
AC009336.1,1.0,1.0,1.0
AC009403.1,1.0,1.0,1.0
AC009404.1,1.0,1.0,1.0
AC009486.2,0.0,0.0,0.0
AC009506.1,1.0,1.0,1.0
AC009509.4,1.0,1.0,1.0
AC009542.1,1.0,1.0,1.0
AC009549.1,1.0,1.0,1.0
AC009554.2,1.0,1.0,0.0
AC009560.1,1.0,1.0,1.0
AC009570.1,1.0,1.0,1.0
AC009686.2,1.0,1.0,1.0
AC009779.2,0.0,0.0,0.0
AC009779.3,1.0,1.0,1.0
AC009802.1,0.0,0.0,0.0
AC009806.1,1.0,1.0,1.0
AC009812.1,0.0,0.0,0.0
AC009812.3,0.0,0.0,0.0
AC009812.4,1.0,1.0,1.0
AC009831.1,1.0,1.0,0.0
AC009879.4,1.0,1.0,1.0
AC009951.6,1.0,1.0,1.0
AC009961.1,0.0,0.0,0.0
AC009961.3,1.0,1.0,1.0
AC009962.1,1.0,1.0,1.0
AC010148.1,1.0,1.0,1.0
AC010168.2,1.0,1.0,0.0
AC010173.1,0.0,0.0,0.0
AC010186.2,1.0,1.0,1.0
AC010186.3,1.0,1.0,1.0
AC010198.1,1.0,1.0,1.0
AC010198.2,1.0,1.0,1.0
AC010201.1,0.0,0.0,0.0
AC010201.2,1.0,1.0,1.0
AC010203.1,0.0,0.0,0.0
AC010205.1,1.0,1.0,1.0
AC010207.1,0.0,0.0,0.0
AC010226.1,1.0,1.0,0.0
AC010245.2,1.0,1.0,1.0
AC010273.3,1.0,1.0,1.0
AC010300.1,0.0,0.0,0.0
AC010307.4,1.0,1.0,1.0
AC010326.3,1.0,1.0,0.0
AC010326.4,1.0,1.0,1.0
AC010327.6,1.0,1.0,1.0
AC010328.1,1.0,1.0,1.0
AC010329.1,1.0,1.0,1.0
AC010332.1,1.0,1.0,1.0
AC010343.1,1.0,1.0,1.0
AC010359.2,1.0,1.0,1.0
AC010422.1,1.0,1.0,1.0
AC010422.8,1.0,1.0,1.0
AC010491.1,0.0,0.0,0.0
AC010501.2,1.0,1.0,1.0
AC010503.4,0.0,0.0,0.0
AC010504.1,1.0,1.0,1.0
AC010531.6,1.0,1.0,1.0
AC010536.1,1.0,1.0,0.0
AC010542.5,0.0,0.0,0.0
AC010615.1,0.0,0.0,0.0
AC010615.2,1.0,1.0,1.0
AC010618.3,0.0,0.0,0.0
AC010624.1,1.0,1.0,1.0
AC010642.2,1.0,1.0,0.0
AC010643.1,1.0,1.0,1.0
AC010654.1,1.0,1.0,1.0
AC010735.2,1.0,1.0,1.0
AC010761.1,1.0,1.0,1.0
AC010789.1,1.0,1.0,1.0
AC010834.3,0.0,0.0,0.0
AC010864.1,0.0,0.0,0.0
AC010883.3,1.0,1.0,0.0
AC010894.1,1.0,1.0,1.0
AC010896.1,1.0,1.0,1.0
AC010913.1,1.0,1.0,1.0
AC010969.2,1.0,1.0,0.0
AC010976.1,1.0,1.0,0.0
AC010976.2,0.0,0.0,0.0
AC010980.1,1.0,1.0,1.0
AC011005.1,1.0,0.0,1.0
AC011008.2,1.0,1.0,1.0
AC011239.2,1.0,1.0,1.0
AC011294.1,1.0,0.0,1.0
AC011346.1,1.0,1.0,1.0
AC011379.2,1.0,1.0,1.0
AC011388.1,1.0,1.0,0.0
AC011416.3,1.0,1.0,1.0
AC011416.4,1.0,1.0,1.0
AC011445.1,0.0,0.0,0.0
AC011447.3,1.0,1.0,1.0
AC011447.7,1.0,1.0,0.0
AC011450.1,1.0,1.0,1.0
AC011455.8,1.0,1.0,1.0
AC011462.4,1.0,1.0,1.0
AC011462.5,1.0,1.0,1.0
AC011468.1,1.0,1.0,1.0
AC011468.5,1.0,1.0,1.0
AC011472.1,0.0,0.0,0.0
AC011472.4,1.0,1.0,1.0
AC011476.3,1.0,1.0,1.0
AC011477.1,1.0,0.0,1.0
AC011477.2,1.0,1.0,1.0
AC011481.3,1.0,1.0,1.0
AC011484.1,1.0,1.0,1.0
AC011495.1,1.0,1.0,1.0
AC011498.7,1.0,1.0,1.0
AC011586.2,1.0,1.0,1.0
AC011603.2,1.0,1.0,1.0
AC011676.1,1.0,1.0,1.0
AC011676.5,1.0,1.0,1.0
AC011700.1,1.0,1.0,1.0
AC011815.1,1.0,1.0,1.0
AC011825.4,1.0,1.0,1.0
AC011912.1,1.0,1.0,1.0
AC011921.1,1.0,1.0,1.0
AC011978.2,1.0,1.0,1.0
AC012063.1,1.0,1.0,1.0
AC012065.2,1.0,1.0,1.0
AC012073.1,1.0,1.0,0.0
AC012076.1,1.0,1.0,1.0
AC012085.1,1.0,1.0,1.0
AC012085.2,1.0,1.0,1.0
AC012101.2,1.0,1.0,1.0
AC012123.1,1.0,1.0,1.0
AC012158.1,1.0,1.0,1.0
AC012181.2,1.0,1.0,1.0
AC012184.3,1.0,1.0,1.0
AC012254.3,1.0,1.0,1.0
AC012291.3,0.0,0.0,0.0
AC012306.2,1.0,1.0,1.0
AC012306.3,1.0,1.0,1.0
AC012358.2,1.0,1.0,1.0
AC012360.2,1.0,1.0,1.0
AC012360.3,1.0,1.0,1.0
AC012368.1,1.0,1.0,1.0
AC012378.2,1.0,1.0,1.0
AC012409.1,1.0,1.0,1.0
AC012409.2,1.0,1.0,1.0
AC012409.3,0.0,0.0,0.0
AC012433.2,1.0,1.0,1.0
AC012443.2,1.0,1.0,1.0
AC012447.1,1.0,1.0,1.0
AC012459.1,1.0,1.0,1.0
AC012464.1,1.0,0.0,1.0
AC012467.1,1.0,1.0,0.0
AC012467.2,1.0,1.0,0.0
AC012513.3,1.0,1.0,1.0
AC012531.1,1.0,1.0,0.0
AC012557.1,1.0,1.0,1.0
AC012593.2,1.0,1.0,1.0
AC012615.1,1.0,1.0,1.0
AC012615.6,1.0,1.0,1.0
AC012618.3,1.0,1.0,1.0
AC012640.2,1.0,1.0,1.0
AC012640.3,0.0,0.0,0.0
