"","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64"
"SLC4A3",1.5,1,1,1,2,2,1,1,1,1,1.5,0.5,1,1.5,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"SLC4A4",1,0.5,1,1,3.5,1,1,1,0.5,0.5,2,1,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1.5,1.5,2,1,1,0.5,1,1,1.5
"SLC4A5",1,1,1,1,1,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"SLC4A8",1,0.5,1,1,1.5,1,1,1,0.5,1,1.5,1.5,1,1,1,1,1,0.5,1,1,1.5,1,1,2,1,1.5,1,1,1,2,1,1.5
"SLC50A1",1.5,0.5,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1.5,3,2.5,1,1,1.5,2,1,1
"SLC51A",1.5,0.5,1,1,1,1.5,1.5,1,0.5,1,1,1,1,1,1,1,2.5,1,1,1.5,1,1,1,1.5,1.5,2,1,1,1,1,1,1
"SLC51B",1,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"SLC52A1",1,0.5,1,0.5,2,1,1,1,0.5,0.5,1.5,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1.5
"SLC52A3",2.5,1.5,1,1.5,2,3.5,1,1,1.5,1,1.5,0.5,1,2.5,1,1.5,2,1,1,1,1.5,0.5,1,1.5,1.5,3.5,1,1.5,2,1.5,1.5,1.5
"SLC5A1",1,0.5,1,0.5,1.5,1,1,1,1,1,1,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1,1.5,1,1,1,1,1.5,1,1
"SLC5A10",1,0.5,1,0.5,2,1,1,1,0.5,2,2.5,1,1,1.5,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,1,1,2,1,1.5
"SLC5A11",1,0.5,1,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1.5,3.5,1,1,1.5,1,1.5
"SLC5A12",1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1.5,2,1,1,1.5,1,1,1.5
"SLC5A3",1,0.5,1,1,1,1,1,1,0.5,0.5,1,1,1,0.5,1,1,1,1,1,1,0.5,0.5,0.5,2,1.5,1,1,0.5,1,1.5,1,1
"SLC5A4",1,0.5,1,0.5,1.5,1,1,1,1,1,1,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1,1.5,1,1,1,1,1.5,1,1
"SLC5A5",1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"SLC5A6",1,1,1,1,1,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1.5,1.5,1,1.5,1,1,1.5,1.5,1,1
"SLC5A7",1.5,1,1,1,2,2,1,1,1,1,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1.5,1.5,2.5,1,1,1.5,1.5,1,1
"SLC5A9",1.5,0.5,1,1,2,1.5,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1,1,1
"SLC66A1",1.5,0.5,1,1,2,1.5,1,1,1.5,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1.5,2.5,1,1.5,1,1,1,1,1
"SLC66A1L",1.5,0.5,1,1,1.5,1.5,1.5,1,0.5,1,1.5,1,1,1,1,1,2.5,0.5,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
"SLC66A3",1,1,1,1,1.5,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1.5,1.5,1,1.5,1,1,1.5,1.5,1,1
"SLC6A1",0.5,0.5,1,1,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1
"SLC6A11",0.5,0.5,1,1,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1
